YTDreturn,company,number,symbol
   8.76%,UNIVERSAL HEALTH SERVICES B,126,UHS
   8.74%,CARDINAL HEALTH INC,127,CAH
   8.72%,IDEX CORP,128,IEX
   8.71%,GENUINE PARTS CO,129,GPC
   8.71%,PROCTER + GAMBLE CO/THE,130,PG
   8.58%,SERVICENOW INC,131,NOW
   8.51%,LAS VEGAS SANDS CORP,132,LVS
   8.51%,WABTEC CORP,133,WAB
   8.51%,EQUIFAX INC,134,EFX
   8.48%,ABBOTT LABORATORIES,135,ABT
   8.41%,COLGATE PALMOLIVE CO,136,CL
   8.40%,EQUINIX INC,137,EQIX
   8.37%,AON PLC CLASS A,138,AON
   8.37%,HOME DEPOT INC,139,HD
   8.36%,MICROSOFT CORP,140,MSFT
   8.35%,CENTENE CORP,141,CNC
   8.30%,ARTHUR J GALLAGHER + CO,142,AJG
   8.30%,CITIGROUP INC,143,C
   8.30%,LINDE PLC,144,LIN
   8.26%,DOMINO S PIZZA INC,145,DPZ
   8.25%,BAXTER INTERNATIONAL INC,146,BAX
   8.11%,ROSS STORES INC,147,ROST
   8.00%,COPART INC,148,CPRT
   7.94%,INTERCONTINENTAL EXCHANGE IN,149,ICE
   7.87%,AUTOMATIC DATA PROCESSING,150,ADP
   7.87%,ASSURANT INC,151,AIZ
   7.85%,JPMORGAN CHASE + CO,152,JPM
   7.81%,AMETEK INC,153,AME
   7.76%,LOEWS CORP,154,L
   7.75%,NVR INC,155,NVR
   7.69%,ACCENTURE PLC CL A,156,ACN
   7.66%,NEWS CORP   CLASS A,157,NWSA
   7.63%,MICRON TECHNOLOGY INC,158,MU
   7.60%,AMERIPRISE FINANCIAL INC,159,AMP
   7.60%,ELEVANCE HEALTH INC,160,ELV
   7.59%,WESTROCK CO,161,WRK
   7.55%,IQVIA HOLDINGS INC,162,IQV
   7.46%,RTX CORP,163,RTX
   7.46%,CDW CORP/DE,164,CDW
   7.38%,SYNCHRONY FINANCIAL,165,SYF
   7.36%,RAYMOND JAMES FINANCIAL INC,166,RJF
   7.29%,PACKAGING CORP OF AMERICA,167,PKG
   7.26%,MARSH + MCLENNAN COS,168,MMC
   7.21%,JACK HENRY + ASSOCIATES INC,169,JKHY
   7.19%,NEWS CORP   CLASS B,170,NWS
   7.15%,TJX COMPANIES INC,171,TJX
   7.14%,DAYFORCE INC,172,DAY
   7.09%,INTUIT INC,173,INTU
   7.00%,CHARLES RIVER LABORATORIES,174,CRL
   6.99%,NXP SEMICONDUCTORS NV,175,NXPI
   6.81%,NORFOLK SOUTHERN CORP,176,NSC
   6.74%,PALO ALTO NETWORKS INC,177,PANW
   6.72%,BANK OF NEW YORK MELLON CORP,178,BK
   6.72%,VERALTO CORP,179,VLTO
   6.72%,TARGET CORP,180,TGT
   6.68%,DOVER CORP,181,DOV
   6.67%,THERMO FISHER SCIENTIFIC INC,182,TMO
   6.52%,CLOROX COMPANY,183,CLX
   6.50%,CORNING INC,184,GLW
   6.24%,SEAGATE TECHNOLOGY HOLDINGS,185,STX
   6.20%,AMERICAN INTERNATIONAL GROUP,186,AIG
   6.14%,DOLLAR GENERAL CORP,187,DG
   5.92%,VERIZON COMMUNICATIONS INC,188,VZ
   5.91%,ONEOK INC,189,OKE
   5.91%,AVERY DENNISON CORP,190,AVY
   5.91%,VERTEX PHARMACEUTICALS INC,191,VRTX
   5.82%,KROGER CO,192,KR
   5.77%,LOWE S COS INC,193,LOW
   5.76%,STERIS PLC,194,STE
   5.74%,IRON MOUNTAIN INC,195,IRM
   5.64%,ORACLE CORP,196,ORCL
   5.64%,CHURCH + DWIGHT CO INC,197,CHD
   5.53%,AUTODESK INC,198,ADSK
   5.47%,HOLOGIC INC,199,HOLX
   5.40%,GENERAL DYNAMICS CORP,200,GD
   5.32%,GLOBE LIFE INC,201,GL
   5.23%,PENTAIR PLC,202,PNR
   5.22%,AXON ENTERPRISE INC,203,AXON
   5.21%,RESMED INC,204,RMD
   5.07%,SHERWIN WILLIAMS CO/THE,205,SHW
   4.98%,MOTOROLA SOLUTIONS INC,206,MSI
   4.95%,SIMON PROPERTY GROUP INC,207,SPG
   4.91%,GLOBAL PAYMENTS INC,208,GPN
   4.90%,OTIS WORLDWIDE CORP,209,OTIS
   4.88%,YUM  BRANDS INC,210,YUM
   4.82%,DOLLAR TREE INC,211,DLTR
   4.78%,GARMIN LTD,212,GRMN
   4.78%,COGNIZANT TECH SOLUTIONS A,213,CTSH
   4.58%,METLIFE INC,214,MET
   4.53%,NRG ENERGY INC,215,NRG
   4.37%,TYLER TECHNOLOGIES INC,216,TYL
   4.35%,DELTA AIR LINES INC,217,DAL
   4.35%,CAPITAL ONE FINANCIAL CORP,218,COF
   4.23%,CINTAS CORP,219,CTAS
   4.23%,PTC INC,220,PTC
   4.20%,CME GROUP INC,221,CME
   4.12%,LYONDELLBASELL INDU CL A,222,LYB
   4.05%,EXXON MOBIL CORP,223,XOM
   4.00%,EVEREST GROUP LTD,224,EG
   3.94%,PIONEER NATURAL RESOURCES CO,225,PXD
   3.90%,HOST HOTELS + RESORTS INC,226,HST
   3.90%,HUNT (JB) TRANSPRT SVCS INC,227,JBHT
   3.84%,ZIMMER BIOMET HOLDINGS INC,228,ZBH
   3.82%,PRUDENTIAL FINANCIAL INC,229,PRU
   3.61%,F5 INC,230,FFIV
